,time,open,close,high,low,dif,dea,macd,bmid,bup,blow
2213,2005-01-04,2.96,2.93,2.96,2.91,0.0,0.0,0.0,,,
2214,2005-01-05,2.93,2.99,3.01,2.93,0.0013461538461534417,0.0007478632478630232,0.001196581196580837,,,
2215,2005-01-06,2.96,2.95,2.98,2.92,0.0004748695872889286,0.0006359806000867549,-0.0003222220255956526,,,
2216,2005-01-07,2.93,2.95,3.0,2.93,6.69545780449532e-05,0.000443221107525169,-0.0007525330589604316,,,
2217,2005-01-10,2.95,2.98,2.98,2.92,0.0010376591438139293,0.0006200529840984556,0.0008352123194309475,,,
2218,2005-01-11,2.95,2.97,2.98,2.93,0.0011740738336087908,0.0007702234372791129,0.0008077007926593559,,,
2219,2005-01-12,2.93,2.96,2.99,2.93,0.000788318038718927,0.0007748026981834891,2.7030681070875848e-05,,,
2220,2005-01-13,2.96,3.02,3.02,2.93,0.003370570343416368,0.0013986144767543377,0.003943911733324061,,,
2221,2005-01-14,2.96,2.96,3.04,2.95,0.0021306284404931652,0.0015677133339180075,0.0011258302131503155,,,
2222,2005-01-17,2.96,2.87,2.96,2.87,-0.0034157922673458962,0.00045111878713175444,-0.007733822108955301,,,
2223,2005-01-18,2.86,2.9,2.95,2.85,-0.005777553060882568,-0.0009116790229810042,-0.009731748075803126,,,
2224,2005-01-19,2.89,2.85,2.91,2.85,-0.01017702330618242,-0.002901486401476961,-0.014551073809410918,,,
2225,2005-01-20,2.83,2.72,2.84,2.69,-0.02064824929194886,-0.006657318005606808,-0.027981862572684105,,,
2226,2005-01-21,2.7,2.8,2.81,2.66,-0.0235814301034174,-0.010197854883815326,-0.02676715043920415,,,
2227,2005-01-24,2.9,2.81,2.92,2.81,-0.024899196220368847,-0.013245347256711901,-0.02330769792731389,,,
2228,2005-01-25,2.81,2.75,2.81,2.72,-0.029225133395622382,-0.016533868117771935,-0.025382530555700895,,,
2229,2005-01-26,2.73,2.73,2.79,2.72,-0.03339927303148604,-0.019984653888060797,-0.026829238286850493,,,
2230,2005-01-27,2.71,2.71,2.74,2.69,-0.03744696970677719,-0.023541185835619094,-0.02781156774231619,,,
2231,2005-01-28,2.69,2.61,2.71,2.61,-0.04651706868060712,-0.028203554214192402,-0.03662702893282944,,,
2232,2005-01-31,2.61,2.5,2.61,2.5,-0.060116767771658086,-0.03466064208026484,-0.05091225138278649,2.848,3.1302167886385814,2.5657832113614183
2233,2005-02-01,2.5,2.47,2.58,2.46,-0.0718885189365297,-0.04217553005916247,-0.05942597775473446,2.825,3.1507057115346857,2.4992942884653147
2234,2005-02-02,2.49,2.61,2.64,2.48,-0.07075507670659809,-0.04793392887232188,-0.04564229566855241,2.806,3.13549083526908,2.47650916473092
2235,2005-02-03,2.66,2.56,2.71,2.56,-0.0724341246872311,-0.052863064516498186,-0.039142120341465816,2.7864999999999998,3.126114332348978,2.4468856676510216
2236,2005-02-04,2.52,2.64,2.67,2.52,-0.06738349604239158,-0.05578093005208364,-0.02320513198061587,2.771,3.1074771048752994,2.4345228951247004
2237,2005-02-16,2.72,2.66,2.72,2.66,-0.06127352074527792,-0.05688361401294487,-0.008779813464666095,2.755,3.0798643441580857,2.430135655841914
2238,2005-02-17,2.66,2.68,2.69,2.62,-0.05439480656035389,-0.05638434357010338,0.003979074019498971,2.7405,3.0505067910970918,2.430493208902908
2239,2005-02-18,2.64,2.64,2.67,2.64,-0.0512349881267844,-0.05535197637071425,0.008233976487859701,2.7245,3.019473683036658,2.429526316963342
2240,2005-02-21,2.6,2.64,2.65,2.58,-0.04817401671286614,-0.053913602218904,0.011479171012075712,2.7055,2.9674341017970183,2.4435658982029813
2241,2005-02-22,2.64,2.71,2.72,2.64,-0.040179455940777764,-0.0511625158633399,0.02196611984512427,2.693,2.9260665141113162,2.459933485888684
2242,2005-02-23,2.72,2.76,2.86,2.71,-0.0298405664814827,-0.046892840384738746,0.03410454780651209,2.6875,2.907822729792362,2.467177270207638
2243,2005-02-24,2.76,2.76,2.81,2.72,-0.021419852652652782,-0.041793192391571955,0.040746679477838346,2.6805,2.8803394092107073,2.4806605907892925
2244,2005-02-25,2.76,2.75,2.81,2.74,-0.015328689181608013,-0.036496094956614857,0.04233481155001369,2.6755,2.862044759691666,2.488955240308334
2245,2005-02-28,2.75,2.75,2.77,2.72,-0.010390664813096695,-0.03127169757267143,0.041762065519149474,2.677,2.865523347709453,2.4884766522905473
2246,2005-03-01,2.76,2.75,2.76,2.73,-0.006409995527913104,-0.02629683460851074,0.03977367816119527,2.6745,2.8573977281088228,2.4916022718911774
2247,2005-03-02,2.75,2.72,2.78,2.69,-0.005468377253902368,-0.022129452646630552,0.03332215078545637,2.67,2.8430226635596143,2.4969773364403856
2248,2005-03-03,2.72,2.74,2.75,2.69,-0.0031648553329941542,-0.018335301911594378,0.030340893157200448,2.6695,2.8416046193453286,2.497395380654672
2249,2005-03-04,2.74,2.73,2.83,2.72,-0.0020815542350378635,-0.015083708214296093,0.026004307958516458,2.6695,2.8416046193453286,2.497395380654672
2250,2005-03-07,2.71,2.76,2.77,2.69,0.0010652275184805937,-0.0118532501278458,0.02583695529265279,2.6719999999999997,2.8479904303618455,2.496009569638154
2251,2005-03-08,2.77,2.79,2.79,2.73,0.005799453949875577,-0.008322122603106205,0.028243153105963564,2.681,2.8619797895084607,2.5000202104915394
2252,2005-03-09,2.8,2.93,3.05,2.78,0.020133128816293144,-0.002630315748324539,0.045526889129235366,2.7024999999999997,2.8947580502729005,2.510241949727099
2253,2005-03-10,2.85,2.77,2.89,2.76,0.01886044960709521,0.0016682944293987057,0.03438431035539301,2.7175000000000002,2.8774835517861317,2.557516448213869
2254,2005-03-11,2.76,2.78,2.8,2.76,0.018416524522770317,0.005018225428685392,0.02679659818816985,2.726,2.8798830724933726,2.5721169275066273
2255,2005-03-14,2.78,2.73,2.78,2.7,0.014003922221133447,0.006815487102466268,0.014376870237334357,2.7344999999999997,2.8670816530928867,2.6019183469071128
2256,2005-03-15,2.73,2.71,2.74,2.69,0.008842937526738925,0.007220999265502984,0.003243876522471883,2.738,2.8635891379815464,2.6124108620184536
2257,2005-03-16,2.71,2.68,2.74,2.68,0.002376615235003321,0.006252080257028197,-0.007750930044049751,2.739,2.862271202937607,2.615728797062393
2258,2005-03-17,2.69,2.63,2.72,2.63,-0.0065957681677053515,0.0036824210325258427,-0.02055637840046239,2.7365000000000004,2.866645667376378,2.606354332623623
2259,2005-03-18,2.62,2.59,2.67,2.55,-0.016658287291787754,-0.00038583403873655985,-0.03254490650610239,2.7340000000000004,2.873533055883583,2.5944669441164177
2260,2005-03-21,2.55,2.58,2.62,2.55,-0.02512761979868694,-0.005334301545239621,-0.03958663650689464,2.7310000000000003,2.88121388260183,2.5807861173981705
2261,2005-03-22,2.63,2.52,2.63,2.51,-0.03615750389059569,-0.011499051997134066,-0.049316903786923244,2.7215000000000003,2.898881539418048,2.5441184605819527
2262,2005-03-23,2.49,2.48,2.57,2.46,-0.04751070089309328,-0.018701484572878666,-0.057618432640429235,2.7075000000000005,2.913910424053378,2.5010895759466227
2263,2005-03-24,2.49,2.52,2.53,2.46,-0.05272750999810549,-0.02550676736051729,-0.05444148527517641,2.6955000000000005,2.9164524835796164,2.4745475164203845
